Price Date,MIC,Ticker,ISIN,Currency,Close Price,Traded Volume,Issued Shares,Traded Value,Market Capitalization,,,,,,
24/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8800,"10,764","13,033,043"," 20,236.32 "," 24,502,120.84 ",,,,,,
27/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8800,"4,497","13,033,043"," 8,454.36 "," 24,502,120.84 ",,,,,,
28/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8800,"2,131","13,033,043"," 4,006.28 "," 24,502,120.84 ",,,,,,
01/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8650,"3,416","13,033,043"," 6,370.84 "," 24,306,625.20 ",,,,,,
02/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8500,"7,155","13,033,043"," 13,236.75 "," 24,111,129.55 ",,,,,,
03/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8000,"9,032","13,033,043"," 16,257.60 "," 23,459,477.40 ",,,,,,
06/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7950,"23,164","13,033,043"," 41,579.38 "," 23,394,312.19 ",,,,,,
08/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7650,"32,106","13,033,043"," 56,667.09 "," 23,003,320.90 ",,,,,,
09/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7700,85,"13,033,043", 150.45 ," 23,068,486.11 ",,,,,,
10/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7900,"2,466","13,033,043"," 4,414.14 "," 23,329,146.97 ",,,,,,
13/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7000,"1,947","13,033,043"," 3,309.90 "," 22,156,173.10 ",,,,,,
14/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7000,"1,220","13,033,043"," 2,074.00 "," 22,156,173.10 ",,,,,,
15/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7000,"3,680","13,033,043"," 6,256.00 "," 22,156,173.10 ",,,,,,
16/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7000,"1,393","13,033,043"," 2,368.10 "," 22,156,173.10 ",,,,,,
17/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7300,"5,434","13,033,043"," 9,400.82 "," 22,547,164.39 ",,,,,,
20/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7900,"5,684","13,033,043"," 10,174.36 "," 23,329,146.97 ",,,,,,
21/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7900,336,"13,033,043", 601.44 ," 23,329,146.97 ",,,,,,
22/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8000,800,"13,033,043"," 1,440.00 "," 23,459,477.40 ",,,,,,
23/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8000,"1,371","13,033,043"," 2,467.80 "," 23,459,477.40 ",,,,,,
24/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8000,"1,201","13,033,043"," 2,161.80 "," 23,459,477.40 ",,,,,,
27/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7450,"1,895","13,033,043"," 3,306.78 "," 22,742,660.04 ",,,,,,
28/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8300,"5,622","13,033,043"," 10,288.26 "," 23,850,468.69 ",,,,,,
29/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8100,800,"13,033,043"," 1,448.00 "," 23,589,807.83 ",,,,,,
30/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8200,313,"13,033,043", 569.66 ," 23,720,138.26 ",,,,,,
31/03/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8300,488,"13,033,043", 893.04 ," 23,850,468.69 ",,,,,,
03/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8400,"10,720","13,033,043"," 19,724.80 "," 23,980,799.12 ",,,,,,
04/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8400,"32,959","13,033,043"," 60,644.56 "," 23,980,799.12 ",,,,,,
05/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8350,"3,044","13,033,043"," 5,585.74 "," 23,915,633.91 ",,,,,,
06/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8300,116,"13,033,043", 212.28 ," 23,850,468.69 ",,,,,,
07/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8300,"14,022","13,033,043"," 25,660.26 "," 23,850,468.69 ",,,,,,
10/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8400,35,"13,033,043", 64.40 ," 23,980,799.12 ",,,,,,
11/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8400,459,"13,033,043", 844.56 ," 23,980,799.12 ",,,,,,
12/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8350,"6,883","13,033,043"," 12,630.31 "," 23,915,633.91 ",,,,,,
13/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8400,1,"13,033,043", 1.84 ," 23,980,799.12 ",,,,,,
18/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8400,"3,150","13,033,043"," 5,796.00 "," 23,980,799.12 ",,,,,,
19/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8100,"7,120","13,033,043"," 12,887.20 "," 23,589,807.83 ",,,,,,
20/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8450,101,"13,033,043", 186.35 ," 24,045,964.34 ",,,,,,
21/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8450,438,"13,033,043", 808.11 ," 24,045,964.34 ",,,,,,
24/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8700,"2,004","13,033,043"," 3,747.48 "," 24,371,790.41 ",,,,,,
25/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7900,"5,882","13,033,043"," 10,528.78 "," 23,329,146.97 ",,,,,,
26/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7450,"5,423","13,033,043"," 9,463.14 "," 22,742,660.04 ",,,,,,
27/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8400,"1,002","13,033,043"," 1,843.68 "," 23,980,799.12 ",,,,,,
28/04/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8400,"1,230","13,033,043"," 2,263.20 "," 23,980,799.12 ",,,,,,
30/12/2022,XBSE,AAB,ROJ1IZXEYIU6,RON,5.3000,350,"5,625,000"," 1,855.00 "," 29,812,500.00 ",,,,,,
03/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.3600,55,"5,625,000", 294.80 ," 30,150,000.00 ",,,,,,
04/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.3000,12,"5,625,000", 63.60 ," 29,812,500.00 ",,,,,,
